,Name,F_Category,D_Ratings,S_Rating,Reviews
101,Sugar Shack,Bakeries,$,5.0 out of 5,4
102,Tannour Grill,Halal,$,,
103,Tava Indian Bistro,Indian,$$,5.0 out of 5,2
104,Thai Restaurant of Sandy Springs,Thai,$$,2.0 out of 5,1
105,The Corner Pub,American,$$,3.4 out of 5,3
106,The Flying Biscuit Cafe - Candler Park,Breakfast & Brunch,$$,,
107,The Flying Biscuit Cafe - Midtown,Breakfast & Brunch,$$,,
108,The Local Pizzaiolo - Toco Hill,Pizza,$$,5.0 out of 5,1
109,The Local Pizzaiolo - West Midtown,Pizza,$$,5.0 out of 5,1
110,The Pig & The Pearl,Barbecue,$$,5.0 out of 5,1
111,There,American,$$,3.4 out of 5,4
112,Tin Roof Cantina,Mexican,$,3.9 out of 5,7
113,TINY Bistro by Figs & Honey Catering,American,$,5.0 out of 5,4
114,Touch Restaurant,Indian,$,3.4 out of 5,11
115,Uncle Brunos Deli,Delis,$,,
116,Varasano's Pizzeria,Pizza,$$,3.7 out of 5,19
117,Which Wich - Howell Mill Road,Delis,$,5.0 out of 5,2
118,Which Wich - West Peachtree St,Sandwiches,$,5.0 out of 5,2
119,Zunzi's Takeout & Catering,Sandwiches,$$,5.0 out of 5,1
